행정구역,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_7세,2020년_계_8세,2020년_계_9세,2020년_계_10세,2020년_계_11세,2020년_계_12세
전국  (0000000000),51829023 ,2799426 ,441560 ,489936 ,476474 ,473919 ,448450 ,469087 
서울특별시  (1100000000),9668465 ,435164 ,68257 ,75438 ,72676 ,73776 ,70062 ,74955 
부산광역시  (2600000000),3391946 ,160444 ,25895 ,28642 ,27637 ,27143 ,24917 ,26210 
대구광역시  (2700000000),2418346 ,126584 ,19952 ,22240 ,21544 ,21397 ,20137 ,21314 
인천광역시  (2800000000),2942828 ,161208 ,25436 ,28005 ,27781 ,27197 ,25999 ,26790 
광주광역시  (2900000000),1450062 ,88147 ,13760 ,15364 ,14773 ,15024 ,14337 ,14889 
대전광역시  (3000000000),1463882 ,82275 ,12990 ,14099 ,14051 ,13811 ,13257 ,14067 
울산광역시  (3100000000),1136017 ,68346 ,11034 ,12165 ,11538 ,11491 ,10863 ,11255 
세종특별자치시  (3600000000),355831 ,31090 ,5123 ,5567 ,5276 ,5208 ,4903 ,5013 
경기도  (4100000000),13427014 ,798227 ,126241 ,140538 ,135937 ,134861 ,127586 ,133064 
강원도  (4200000000),1542840 ,76161 ,11603 ,13114 ,13015 ,13061 ,12514 ,12854 
충청북도  (4300000000),1600837 ,87135 ,13663 ,15143 ,14823 ,14962 ,14049 ,14495 
충청남도  (4400000000),2121029 ,121883 ,19291 ,21299 ,20803 ,20601 ,19588 ,20301 
전라북도  (4500000000),1804104 ,97495 ,14935 ,16608 ,16715 ,16771 ,15823 ,16643 
전라남도  (4600000000),1851549 ,95380 ,14758 ,16584 ,16436 ,16305 ,15384 ,15913 
경상북도  (4700000000),2639422 ,132329 ,21259 ,23345 ,22715 ,22020 ,21088 ,21902 
경상남도  (4800000000),3340216 ,194369 ,30531 ,34073 ,33367 ,32987 ,30978 ,32433 
제주특별자치도  (5000000000),674635 ,43189 ,6832 ,7712 ,7387 ,7304 ,6965 ,6989 
