행정구역,2013년_계_총인구수,2013년_계_연령구간인구수,2013년_계_7세,2013년_계_8세,2013년_계_9세,2013년_계_10세,2013년_계_11세,2013년_계_12세
전국  (0000000000),51141463 ,2908390 ,449321 ,436031 ,474106 ,493745 ,495256 ,559931 
서울특별시  (1100000000),10143645 ,500129 ,77366 ,74650 ,82595 ,85082 ,85239 ,95197 
부산광역시  (2600000000),3527635 ,167484 ,25031 ,24558 ,27031 ,28693 ,28892 ,33279 
대구광역시  (2700000000),2501588 ,141805 ,20801 ,20959 ,22649 ,24623 ,24315 ,28458 
인천광역시  (2800000000),2879782 ,164920 ,25796 ,24961 ,26702 ,28276 ,27763 ,31422 
광주광역시  (2900000000),1472910 ,98400 ,14756 ,14330 ,15759 ,17103 ,16902 ,19550 
대전광역시  (3000000000),1532811 ,96460 ,14975 ,14485 ,15872 ,16477 ,16294 ,18357 
울산광역시  (3100000000),1156480 ,69012 ,10674 ,10411 ,11000 ,11727 ,11597 ,13603 
세종특별자치시  (3600000000),122153 ,7781 ,1308 ,1237 ,1316 ,1304 ,1268 ,1348 
경기도  (4100000000),12234630 ,778550 ,123640 ,118011 ,128042 ,132036 ,130834 ,145987 
강원도  (4200000000),1542263 ,85952 ,12647 ,12897 ,13933 ,14420 ,15242 ,16813 
충청북도  (4300000000),1572732 ,91368 ,13935 ,13652 ,14934 ,15253 ,15765 ,17829 
충청남도  (4400000000),2047631 ,120081 ,19120 ,18298 ,19643 ,19916 ,20143 ,22961 
전라북도  (4500000000),1872965 ,108983 ,16093 ,16228 ,17529 ,18380 ,19071 ,21682 
전라남도  (4600000000),1907172 ,102866 ,15355 ,15057 ,16490 ,17252 ,18063 ,20649 
경상북도  (4700000000),2699440 ,138997 ,21308 ,20982 ,22330 ,23480 ,23736 ,27161 
경상남도  (4800000000),3333820 ,195637 ,30327 ,29300 ,31857 ,32876 ,33335 ,37942 
제주특별자치도  (5000000000),593806 ,39965 ,6189 ,6015 ,6424 ,6847 ,6797 ,7693 
