행정구역,2018년_계_총인구수,2018년_계_연령구간인구수,2018년_계_7세,2018년_계_8세,2018년_계_9세,2018년_계_10세,2018년_계_11세,2018년_계_12세
전국  (0000000000),51826059 ,2813016 ,476168 ,473690 ,448251 ,468897 ,496074 ,449936 
서울특별시  (1100000000),9765623 ,448200 ,73813 ,74748 ,70652 ,75180 ,79733 ,74074 
부산광역시  (2600000000),3441453 ,158802 ,27672 ,27226 ,24975 ,26227 ,27726 ,24976 
대구광역시  (2700000000),2461769 ,129009 ,21705 ,21518 ,20296 ,21370 ,23101 ,21019 
인천광역시  (2800000000),2954642 ,163405 ,27977 ,27557 ,26162 ,27075 ,28912 ,25722 
광주광역시  (2900000000),1459336 ,90179 ,14832 ,15052 ,14415 ,14919 ,16227 ,14734 
대전광역시  (3000000000),1489936 ,85563 ,14392 ,14127 ,13502 ,14261 ,15321 ,13960 
울산광역시  (3100000000),1155623 ,68229 ,11740 ,11600 ,10995 ,11315 ,11995 ,10584 
세종특별자치시  (3600000000),314126 ,26947 ,4761 ,4715 ,4468 ,4546 ,4413 ,4044 
경기도  (4100000000),13077153 ,789000 ,134080 ,133134 ,126395 ,131986 ,138067 ,125338 
강원도  (4200000000),1543052 ,77704 ,12892 ,12974 ,12464 ,12867 ,13955 ,12552 
충청북도  (4300000000),1599252 ,87332 ,14795 ,14827 ,13964 ,14507 ,15407 ,13832 
충청남도  (4400000000),2126282 ,122534 ,21018 ,20761 ,19679 ,20376 ,21364 ,19336 
전라북도  (4500000000),1836832 ,100042 ,16750 ,16752 ,15873 ,16675 ,17805 ,16187 
전라남도  (4600000000),1882970 ,96845 ,16439 ,16367 ,15422 ,15994 ,17088 ,15535 
경상북도  (4700000000),2676831 ,132256 ,22717 ,22181 ,21164 ,22080 ,23182 ,20932 
경상남도  (4800000000),3373988 ,194626 ,33409 ,33015 ,31008 ,32607 ,34285 ,30302 
제주특별자치도  (5000000000),667191 ,42343 ,7176 ,7136 ,6817 ,6912 ,7493 ,6809 
