행정구역,2019년_계_총인구수,2019년_계_연령구간인구수,2019년_계_7세,2019년_계_8세,2019년_계_9세,2019년_계_10세,2019년_계_11세,2019년_계_12세
전국  (0000000000),51849861 ,2853508 ,489772 ,476358 ,473817 ,448401 ,469014 ,496146 
서울특별시  (1100000000),9729107 ,448974 ,76160 ,73259 ,74305 ,70378 ,74930 ,79942 
부산광역시  (2600000000),3413841 ,162184 ,28565 ,27662 ,27137 ,24926 ,26230 ,27664 
대구광역시  (2700000000),2438031 ,130041 ,22311 ,21648 ,21455 ,20249 ,21319 ,23059 
인천광역시  (2800000000),2957026 ,165556 ,28242 ,27884 ,27419 ,26168 ,26988 ,28855 
광주광역시  (2900000000),1456468 ,90778 ,15416 ,14811 ,15060 ,14379 ,14886 ,16226 
대전광역시  (3000000000),1474870 ,85067 ,14279 ,14188 ,13915 ,13350 ,14163 ,15172 
울산광역시  (3100000000),1148019 ,69615 ,12239 ,11621 ,11588 ,10916 ,11289 ,11962 
세종특별자치시  (3600000000),340575 ,29769 ,5378 ,5065 ,5064 ,4723 ,4850 ,4689 
경기도  (4100000000),13239666 ,806239 ,139456 ,135009 ,133922 ,126910 ,132562 ,138380 
강원도  (4200000000),1541502 ,78225 ,13001 ,12949 ,13029 ,12487 ,12835 ,13924 
충청북도  (4300000000),1600007 ,88719 ,15087 ,14771 ,14896 ,14024 ,14496 ,15445 
충청남도  (4400000000),2123709 ,124190 ,21299 ,20908 ,20712 ,19652 ,20358 ,21261 
전라북도  (4500000000),1818917 ,100359 ,16632 ,16719 ,16746 ,15850 ,16634 ,17778 
전라남도  (4600000000),1868745 ,97565 ,16555 ,16404 ,16274 ,15391 ,15930 ,17011 
경상북도  (4700000000),2665836 ,134598 ,23493 ,22731 ,22119 ,21132 ,22030 ,23093 
경상남도  (4800000000),3362553 ,198332 ,34144 ,33438 ,33000 ,30970 ,32550 ,34230 
제주특별자치도  (5000000000),670989 ,43297 ,7515 ,7291 ,7176 ,6896 ,6964 ,7455 
