행정구역,2016년_계_총인구수,2016년_계_연령구간인구수,2016년_계_7세,2016년_계_8세,2016년_계_9세,2016년_계_10세,2016년_계_11세,2016년_계_12세
전국  (0000000000),51696216 ,2773341 ,448049 ,468712 ,495918 ,449851 ,436439 ,474372 
서울특별시  (1100000000),9930616 ,459193 ,72626 ,76968 ,81236 ,75032 ,72584 ,80747 
부산광역시  (2600000000),3498529 ,156728 ,25249 ,26417 ,28012 ,25147 ,24762 ,27141 
대구광역시  (2700000000),2484557 ,129607 ,20278 ,21385 ,23098 ,20941 ,21064 ,22841 
인천광역시  (2800000000),2943069 ,160704 ,26525 ,27298 ,29104 ,25818 ,25086 ,26873 
광주광역시  (2900000000),1469214 ,90595 ,14492 ,14972 ,16261 ,14717 ,14362 ,15791 
대전광역시  (3000000000),1514370 ,88093 ,13908 ,14754 ,15734 ,14363 ,13918 ,15416 
울산광역시  (3100000000),1172304 ,66814 ,11147 ,11476 ,12077 ,10679 ,10379 ,11056 
세종특별자치시  (3600000000),243048 ,19645 ,3530 ,3551 ,3477 ,3155 ,2905 ,3027 
경기도  (4100000000),12716780 ,762080 ,124285 ,130186 ,136415 ,124326 ,118363 ,128505 
강원도  (4200000000),1550806 ,78944 ,12534 ,12855 ,14028 ,12703 ,12936 ,13888 
충청북도  (4300000000),1591625 ,86100 ,13968 ,14498 ,15423 ,13866 ,13573 ,14772 
충청남도  (4400000000),2096727 ,118258 ,19457 ,20223 ,21190 ,19250 ,18439 ,19699 
전라북도  (4500000000),1864791 ,100808 ,15929 ,16809 ,17900 ,16250 ,16340 ,17580 
전라남도  (4600000000),1903914 ,95870 ,15400 ,15974 ,17162 ,15556 ,15227 ,16551 
경상북도  (4700000000),2700398 ,130752 ,21269 ,22183 ,23353 ,21094 ,20826 ,22027 
경상남도  (4800000000),3373871 ,188975 ,30937 ,32530 ,34199 ,30279 ,29264 ,31766 
제주특별자치도  (5000000000),641597 ,40175 ,6515 ,6633 ,7249 ,6675 ,6411 ,6692 
