행정구역,2021년_계_총인구수,2021년_계_연령구간인구수,2021년_계_7세,2021년_계_8세,2021년_계_9세,2021년_계_10세,2021년_계_11세,2021년_계_12세
전국  (0000000000),51638809 ,2771601 ,440866 ,441672 ,490049 ,476536 ,473997 ,448481 
서울특별시  (1100000000),9509458 ,423265 ,66923 ,67174 ,74480 ,71911 ,72979 ,69798 
부산광역시  (2600000000),3350380 ,160245 ,26226 ,25835 ,28603 ,27599 ,27111 ,24871 
대구광역시  (2700000000),2385412 ,125271 ,20167 ,19913 ,22219 ,21519 ,21346 ,20107 
인천광역시  (2800000000),2948375 ,160316 ,25431 ,25493 ,28111 ,27930 ,27301 ,26050 
광주광역시  (2900000000),1441611 ,86700 ,13561 ,13749 ,15314 ,14742 ,14999 ,14335 
대전광역시  (3000000000),1452251 ,80261 ,12636 ,12857 ,13938 ,13911 ,13707 ,13212 
울산광역시  (3100000000),1121592 ,67697 ,11062 ,10936 ,12050 ,11437 ,11408 ,10804 
세종특별자치시  (3600000000),371895 ,32164 ,5285 ,5273 ,5759 ,5443 ,5379 ,5025 
경기도  (4100000000),13565450 ,797338 ,128487 ,127196 ,141420 ,136569 ,135664 ,128002 
강원도  (4200000000),1538492 ,74926 ,11401 ,11703 ,13191 ,13063 ,13072 ,12496 
충청북도  (4300000000),1597427 ,86140 ,13438 ,13728 ,15158 ,14851 ,14934 ,14031 
충청남도  (4400000000),2119257 ,120594 ,18950 ,19282 ,21262 ,20817 ,20648 ,19635 
전라북도  (4500000000),1786855 ,95373 ,14550 ,14899 ,16620 ,16670 ,16775 ,15859 
전라남도  (4600000000),1832803 ,94034 ,14246 ,14858 ,16678 ,16530 ,16347 ,15375 
경상북도  (4700000000),2626609 ,131177 ,20835 ,21282 ,23354 ,22697 ,21995 ,21014 
경상남도  (4800000000),3314183 ,192424 ,30703 ,30492 ,34055 ,33348 ,32946 ,30880 
제주특별자치도  (5000000000),676759 ,43676 ,6965 ,7002 ,7837 ,7499 ,7386 ,6987 
