행정구역,2014년_계_총인구수,2014년_계_연령구간인구수,2014년_계_7세,2014년_계_8세,2014년_계_9세,2014년_계_10세,2014년_계_11세,2014년_계_12세
전국  (0000000000),51327916 ,2844477 ,495536 ,449510 ,436172 ,474187 ,493804 ,495268 
서울특별시  (1100000000),10103233 ,486309 ,83620 ,76662 ,74048 ,82076 ,84629 ,85274 
부산광역시  (2600000000),3519401 ,162511 ,27907 ,25090 ,24665 ,27073 ,28801 ,28975 
대구광역시  (2700000000),2493264 ,136616 ,23012 ,20825 ,20955 ,22720 ,24708 ,24396 
인천광역시  (2800000000),2902608 ,162924 ,29062 ,25867 ,25049 ,26753 ,28373 ,27820 
광주광역시  (2900000000),1475884 ,95485 ,16330 ,14777 ,14384 ,15838 ,17162 ,16994 
대전광역시  (3000000000),1531809 ,93854 ,16279 ,14809 ,14375 ,15807 ,16323 ,16261 
울산광역시  (3100000000),1166377 ,67545 ,12092 ,10711 ,10407 ,10999 ,11728 ,11608 
세종특별자치시  (3600000000),156125 ,10904 ,2022 ,1846 ,1722 ,1826 ,1799 ,1689 
경기도  (4100000000),12357830 ,767563 ,135512 ,123654 ,117963 ,127965 ,131947 ,130522 
강원도  (4200000000),1544442 ,82963 ,13941 ,12687 ,12907 ,13903 ,14365 ,15160 
충청북도  (4300000000),1578933 ,88744 ,15447 ,13926 ,13577 ,14883 ,15197 ,15714 
충청남도  (4400000000),2062273 ,118247 ,21019 ,19176 ,18334 ,19683 ,19939 ,20096 
전라북도  (4500000000),1871560 ,105392 ,17827 ,16170 ,16311 ,17577 ,18381 ,19126 
전라남도  (4600000000),1905780 ,99145 ,16907 ,15416 ,15067 ,16548 ,17259 ,17948 
경상북도  (4700000000),2700794 ,134656 ,23409 ,21194 ,20944 ,22175 ,23396 ,23538 
경상남도  (4800000000),3350257 ,191908 ,34267 ,30348 ,29283 ,31867 ,32876 ,33267 
제주특별자치도  (5000000000),607346 ,39711 ,6883 ,6352 ,6181 ,6494 ,6921 ,6880 
