행정구역,2017년_계_총인구수,2017년_계_연령구간인구수,2017년_계_7세,2017년_계_8세,2017년_계_9세,2017년_계_10세,2017년_계_11세,2017년_계_12세
전국  (0000000000),51778544 ,2773112 ,473580 ,448183 ,468858 ,496041 ,449954 ,436496 
서울특별시  (1100000000),9857426 ,451317 ,75929 ,71772 ,76157 ,80577 ,74502 ,72380 
부산광역시  (2600000000),3470653 ,156007 ,27241 ,25022 ,26256 ,27829 ,25013 ,24646 
대구광역시  (2700000000),2475231 ,128606 ,21577 ,20326 ,21429 ,23134 ,21039 ,21101 
인천광역시  (2800000000),2948542 ,161015 ,27732 ,26308 ,27187 ,28953 ,25780 ,25055 
광주광역시  (2900000000),1463770 ,89811 ,15110 ,14421 ,14935 ,16231 ,14732 ,14382 
대전광역시  (3000000000),1502227 ,85953 ,14378 ,13697 ,14496 ,15502 ,14111 ,13769 
울산광역시  (3100000000),1165132 ,67129 ,11670 ,11066 ,11393 ,12027 ,10622 ,10351 
세종특별자치시  (3600000000),280100 ,23317 ,4248 ,4040 ,4091 ,3988 ,3661 ,3289 
경기도  (4100000000),12873895 ,768280 ,131877 ,125113 ,130900 ,137072 ,124686 ,118632 
강원도  (4200000000),1550142 ,77758 ,12938 ,12509 ,12821 ,14000 ,12660 ,12830 
충청북도  (4300000000),1594432 ,85915 ,14750 ,13950 ,14475 ,15388 ,13815 ,13537 
충청남도  (4400000000),2116770 ,119796 ,20687 ,19601 ,20326 ,21362 ,19298 ,18522 
전라북도  (4500000000),1854607 ,99934 ,16795 ,15940 ,16770 ,17866 ,16234 ,16329 
전라남도  (4600000000),1896424 ,95695 ,16358 ,15436 ,16022 ,17138 ,15596 ,15145 
경상북도  (4700000000),2691706 ,130727 ,22302 ,21228 ,22139 ,23258 ,21033 ,20767 
경상남도  (4800000000),3380404 ,190692 ,33028 ,31045 ,32637 ,34331 ,30362 ,29289 
제주특별자치도  (5000000000),657083 ,41160 ,6960 ,6709 ,6824 ,7385 ,6810 ,6472 
