행정구역,2012년_계_총인구수,2012년_계_연령구간인구수,2012년_계_7세,2012년_계_8세,2012년_계_9세,2012년_계_10세,2012년_계_11세,2012년_계_12세
전국  (0000000000),50948272 ,3098527 ,435863 ,474009 ,493679 ,495216 ,559908 ,639852 
서울특별시  (1100000000),10195318 ,536467 ,75315 ,83258 ,85720 ,85656 ,95388 ,111130 
부산광역시  (2600000000),3538484 ,180144 ,24533 ,26967 ,28665 ,28786 ,33158 ,38035 
대구광역시  (2700000000),2505644 ,153470 ,20892 ,22572 ,24573 ,24259 ,28318 ,32856 
인천광역시  (2800000000),2843981 ,173676 ,24752 ,26461 ,28163 ,27605 ,31301 ,35394 
광주광역시  (2900000000),1469216 ,106054 ,14284 ,15733 ,17078 ,16900 ,19476 ,22583 
대전광역시  (3000000000),1524583 ,102072 ,14466 ,15815 ,16414 ,16295 ,18318 ,20764 
울산광역시  (3100000000),1147256 ,74016 ,10407 ,11022 ,11745 ,11600 ,13594 ,15648 
세종특별자치시  (3600000000),113117 ,7325 ,1106 ,1196 ,1188 ,1173 ,1292 ,1370 
경기도  (4100000000),12093299 ,819981 ,117857 ,127884 ,131800 ,130740 ,146002 ,165698 
강원도  (4200000000),1538630 ,92516 ,12875 ,13932 ,14431 ,15248 ,16872 ,19158 
충청북도  (4300000000),1565628 ,97537 ,13680 ,14962 ,15258 ,15793 ,17789 ,20055 
충청남도  (4400000000),2028777 ,126290 ,18210 ,19588 ,19813 ,20137 ,22951 ,25591 
전라북도  (4500000000),1873341 ,117102 ,16185 ,17494 ,18344 ,19000 ,21709 ,24370 
전라남도  (4600000000),1909618 ,111350 ,15018 ,16477 ,17257 ,18057 ,20729 ,23812 
경상북도  (4700000000),2698353 ,149826 ,21089 ,22468 ,23573 ,23860 ,27339 ,31497 
경상남도  (4800000000),3319314 ,208742 ,29291 ,31895 ,32904 ,33388 ,38055 ,43209 
제주특별자치도  (5000000000),583713 ,41959 ,5903 ,6285 ,6753 ,6719 ,7617 ,8682 
